"title","description","parent_id","commission","status","category_type","is_featured","created_by","media","zones"
"AC Repair","Comprehensive AC repair services for all types and brands of air conditioners, ensuring your cooling systems are running efficiently and effectively.","","5","1","service","1","1","http://127.0.0.1:8000/storage/193/1.png","[1]"
"AC Installation","Professional installation of new air conditioning units, ensuring proper setup and optimal performance.","7","7","1","service","1","1","http://127.0.0.1:8000/storage/194/2.png","[1]"
"AC Maintenance","Regular servicing to maintain optimal performance.","7","9","1","service","","1","http://127.0.0.1:8000/storage/195/3.png","[1]"
"Emergency Repair","Immediate response to urgent repair needs.","7","5","1","service","","1","http://127.0.0.1:8000/storage/196/4.png","[1]"
"Duct Cleaning","Cleaning and maintenance of air ducts.","7","2","1","service","1","1","http://127.0.0.1:8000/storage/197/5.png","[1]"
"Thermostat Repair","Fixing or replacing faulty thermostats.","7","5","1","service","1","1","http://127.0.0.1:8000/storage/198/6.png","[1]"
"Cleaning","Comprehensive cleaning services for homes and offices. Our trained staff uses eco-friendly products to ensure a spotless and healthy environment.","","9","1","service","1","1","http://127.0.0.1:8000/storage/529/fi_3672490.png","[1,2]"
"Residential Cleaning","Detailed cleaning of homes and apartments.","13","6","1","service","1","1","http://127.0.0.1:8000/storage/200/2.png","[1]"
"Office Cleaning","Routine cleaning services for office spaces.","13","7","1","service","1","1","http://127.0.0.1:8000/storage/201/3.png","[1]"
"Deep Cleaning","Intensive cleaning for all areas of the home or office.","13","7","1","service","","1","http://127.0.0.1:8000/storage/202/4.png","[1]"
"Carpet Cleaning","Professional cleaning of carpets and rugs.","13","4","1","service","","1","http://127.0.0.1:8000/storage/203/5.png","[1]"
"Window Cleaning","Spotless cleaning of interior and exterior windows.","13","7","1","service","","1","http://127.0.0.1:8000/storage/204/6.png","[1]"
"Carpenter","Skilled carpentry services for building, repairing, and enhancing wooden structures and furniture. Our carpenters deliver craftsmanship with precision and attention to detail.","","5","1","service","","1","http://127.0.0.1:8000/storage/205/1.png","[1]"
"Furniture Making","Custom furniture design and creation.","19","5","1","service","1","1","http://127.0.0.1:8000/storage/206/2.png","[1]"
"Repair Services","Fixing and restoring wooden items.","19","6","1","service","1","1","http://127.0.0.1:8000/storage/207/3.png","[1]"
"Cabinet Installation","Installing and customizing cabinets.","19","4","1","service","","1","http://127.0.0.1:8000/storage/208/4.png","[1]"
"Wooden Flooring","Laying and polishing wooden floors.","19","5","1","service","","1","http://127.0.0.1:8000/storage/209/5.png","[1]"
"Deck Construction","Building and maintaining outdoor decks.","19","4","1","service","","1","http://127.0.0.1:8000/storage/210/6.png","[1]"
"Cooking","Professional cooking services for personal and event-based needs. Our chefs prepare delicious and customized meals to suit all dietary preferences.","","9","1","service","","1","http://127.0.0.1:8000/storage/211/1.png","[1,2]"
"Personal Chef","Customized meal preparation for individuals and families.","25","6","1","service","","1","http://127.0.0.1:8000/storage/212/2.png","[1,2]"
"Catering Services","Food services for events and gatherings.","25","5","1","service","","1","http://127.0.0.1:8000/storage/213/3.png","[1,2]"
"Cooking Classes","Instructional sessions for aspiring cooks.","25","6","1","service","","1","http://127.0.0.1:8000/storage/214/4.png","[1,2]"
"Meal Prep","Preparing meals for the week based on dietary requirements.","25","6","1","service","","1","http://127.0.0.1:8000/storage/215/5.png","[1,2]"
"Special Diets","Cooking for specific diets like keto, vegan, and gluten-free.","25","7","1","service","","1","http://127.0.0.1:8000/storage/216/6.png","[1,2]"
"Electrician","Certified electrical services for residential and commercial properties. Our electricians handle everything from installations to emergency repairs with utmost safety and expertise.","","9","1","service","","1","http://127.0.0.1:8000/storage/217/1.png","[1]"
"Wiring Installation","Installing and upgrading electrical wiring.","31","6","1","service","","1","http://127.0.0.1:8000/storage/218/2.png","[1]"
"Lighting","Installation and repair of lighting systems.","31","5","1","service","","1","http://127.0.0.1:8000/storage/219/3.png","[1]"
"Circuit Breaker Repair","Fixing and replacing circuit breakers.","31","6","1","service","","1","http://127.0.0.1:8000/storage/220/4.png","[1]"
"Emergency Services","Immediate response to electrical emergencies.","31","8","1","service","","1","http://127.0.0.1:8000/storage/221/5.png","[1]"
"Appliance Installation","Setting up and connecting electrical appliances.","31","8","1","service","","1","http://127.0.0.1:8000/storage/222/6.png","[1]"
"Painter","Professional painting services to enhance the aesthetic appeal of your property. Our painters ensure a flawless finish and use high-quality paints for long-lasting results.","","9","1","service","","1","http://127.0.0.1:8000/storage/223/1.png","[1,2]"
"Interior Painting","Painting of interior walls, ceilings, and trim.","37","8","1","service","","1","http://127.0.0.1:8000/storage/224/2.png","[1,2]"
"Exterior Painting","Painting of exterior walls and structures.","37","8","1","service","","1","http://127.0.0.1:8000/storage/225/3.png","[1,2]"
"Wallpaper Installation","Applying and removing wallpaper.","37","5","1","service","","1","http://127.0.0.1:8000/storage/226/4.png","[1,2]"
"Touch-up Services","Minor painting repairs and touch-ups.","37","8","1","service","","1","http://127.0.0.1:8000/storage/227/5.png","[1,2]"
"Decorative Painting","Custom and artistic painting designs.","37","7","1","service","","1","http://127.0.0.1:8000/storage/228/6.png","[1,2]"
"Plumber","Reliable plumbing services for all your needs, from fixing leaks to installing new systems. Our plumbers provide prompt and efficient solutions to ensure smooth water flow and drainage.","","9","1","service","","1","http://127.0.0.1:8000/storage/229/1.png","[1]"
"Leak Repair","Fixing leaks in pipes and faucets.","43","5","1","service","","1","http://127.0.0.1:8000/storage/230/2.png","[1]"
"Drain Cleaning","Unclogging and cleaning drains.","43","5","1","service","","1","http://127.0.0.1:8000/storage/231/3.png","[1]"
"Pipe Installation","Installing new piping systems.","43","8","1","service","","1","http://127.0.0.1:8000/storage/232/4.png","[1]"
"Water Heater Repair","Fixing and installing water heaters.","43","8","1","service","","1","http://127.0.0.1:8000/storage/233/5.png","[1]"
"Emergency Plumbing","24/7 services for urgent plumbing issues.","43","8","1","service","","1","http://127.0.0.1:8000/storage/234/6.png","[1]"
"Salon","Top-notch salon services for hair, skin, and nails. Our skilled professionals use the best products and techniques to help you look and feel your best.","","9","1","service","","1","http://127.0.0.1:8000/storage/235/1.png","[1,2]"
"Haircut","Stylish haircuts for men, women, and children.","49","8","1","service","","1","http://127.0.0.1:8000/storage/236/2.png","[1,2]"
"Hair Coloring","Professional coloring services.","49","7","1","service","","1","http://127.0.0.1:8000/storage/237/3.png","[1,2]"
"Facials","Rejuvenating facial treatments.","49","8","1","service","","1","http://127.0.0.1:8000/storage/238/4.png","[1,2]"
"Manicure & Pedicure","Nail care and polish services.","49","5","1","service","","1","http://127.0.0.1:8000/storage/239/5.png","[1,2]"
"Spa Services","Relaxing spa treatments including massages and skin care.","49","8","1","service","","1","http://127.0.0.1:8000/storage/240/6.png","[1,2]"
"Home Services","Explore a range of home services to enhance your living experience, from AC repair and installation to spa treatments and more.","","","1","blog","","1","",""
"AC Services","Learn about the importance of AC maintenance, repair tips, and how to choose the right AC system for your home.","","","1","blog","","1","",""
"Spa and Wellness","Discover the world of spa and wellness, including benefits of different treatments, relaxation techniques, and more.","","","1","blog","","1","",""
"Hair and Beauty","Stay updated with the latest hair trends, beauty tips, and expert advice on hair care and styling.","","","1","blog","","1","",""
"Cleaning and Organization","Get practical tips for cleaning your home efficiently, organizing spaces, and maintaining a tidy living environment.","","","1","blog","","1","",""
"Home Improvement","Explore DIY projects, renovation ideas, and home improvement tips to enhance the look and functionality of your home.","","","1","blog","","1","",""
"Vendor Selection and Tips","Find guidance on how to choose the right vendors for home services, maintenance, and repairs.","","","1","blog","","1","",""
"Wellbeing and Lifestyle","Discover ways to improve your overall wellbeing, including fitness tips, mental health advice, and lifestyle changes.","","","1","blog","","1","",""
"Home Maintenance","Learn about essential home maintenance tasks, seasonal upkeep, and tips for keeping your home in top condition.","","","1","blog","","1","",""
"Professional Services","Explore the benefits of hiring professionals for home services, repairs, and maintenance, and how to find trusted professionals.","","","1","blog","","1","",""
"Education And Tutoring","Education and Training category,  services focus on providing knowledge, skills, and expertise through structured learning experiences.","","8","1","service","","1","http://127.0.0.1:8000/storage/1075/education-learning.png","[1]"
"Physiotherapy","Physiotherapy involves the assessment, treatment, and prevention of physical conditions that affect movement and function.","","6","1","service","","1","http://127.0.0.1:8000/storage/1076/phisiyo.png","[1]"
"Yoga","Yoga is a holistic practice that integrates physical postures, breathing exercises, meditation, and relaxation techniques to promote physical, mental, and emotional well-being.","","7","1","service","","1","http://127.0.0.1:8000/storage/1077/yoga.png","[1]"
